Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Elemental Gearbolt,PS,1997,Shooter,Sony Computer Entertainment,0.03,0.02,0,0,0.06
Final Fantasy VII International,PS,1997,Role-Playing,Square,0,0,0.59,0.04,0.63
Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
SaGa Frontier,PS,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22
Front Mission 2,PS,1997,Strategy,SquareSoft,0,0,0.49,0.03,0.53
Tobal 2,PS,1997,Fighting,SquareSoft,0,0,0.35,0.02,0.37
Einhänder,PS,1997,Shooter,SquareSoft,0.1,0.07,0.13,0.02,0.31
Final Fantasy IV,PS,1997,Simulation,SquareSoft,0,0,0.29,0.02,0.31
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0,0,0.13,0.01,0.14
Big Bass World Championship,PS,1997,Sports,Starfish,0.2,0.14,0,0.02,0.36
Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0,0,0.11
Densha De Go!,PS,1997,Simulation,Taito,0,0,1.02,0.07,1.09
DX Game of Life 2,PS,1997,Misc,Takara,0,0,0.31,0.02,0.33
Choro Q2,PS,1997,Racing,Takara,0,0,0.23,0.02,0.25
Grand Theft Auto,PS,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
Wheel of Fortune,N64,1997,Misc,Take-Two Interactive,0.2,0.05,0,0,0.25
Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.12,0.03,0,0,0.15
Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27
Gallop Racer 2: One and Only Road to Victory,PS,1997,Sports,Tecmo Koei,0,0,0.25,0.02,0.27
Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.13,0.03,0,0,0.16
Galerians,PS,1999,Adventure,Crave Entertainment,0.08,0.06,0,0.01,0.15
Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0,0,0.11
Killer Loop,PS,1999,Racing,Crave Entertainment,0.03,0.02,0,0,0.06
Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,0,0,0,1.94
Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0,0.98,0,0.09,1.07
Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.34,0.23,0,0.04,0.61
Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0,0.04,0.55
Gex 3: Deep Cover Gecko,PS,1999,Platform,Eidos Interactive,0.3,0.2,0,0.03,0.53
Urban Chaos,PS,1999,Action,Eidos Interactive,0.06,0.04,0,0.01,0.1
The Misadventures of Tron Bonne,PS,1999,Adventure,Eidos Interactive,0.03,0.02,0,0,0.05
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31
NASCAR 2000,PS,1999,Racing,Electronic Arts,0.88,0.6,0,0.1,1.59
Triple Play 2000,PS,1999,Sports,Electronic Arts,0.79,0.54,0,0.09,1.43
Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1.02,0.34,0,0.05,1.41
Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0,0.07,1.07
NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0,0.06,0.95
Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92
WCW Mayhem,N64,1999,Fighting,Electronic Arts,0.63,0.15,0,0.01,0.79
Need for Speed: Porsche Unleashed,PS,1999,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77
Sim Theme Park,PS,1999,Strategy,Electronic Arts,0.35,0.24,0,0.04,0.63
Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.4,0.2,0,0.02,0.62
Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.58,0.02,0,0,0.61
NASCAR 2000,N64,1999,Racing,Electronic Arts,0.49,0.03,0,0,0.53
NBA Live 2000,N64,1999,Sports,Electronic Arts,0.42,0.02,0,0,0.44
Road Rash: Jailbreak,PS,1999,Racing,Electronic Arts,0.22,0.15,0,0.03,0.4
Championship Bass,PS,1999,Sports,Electronic Arts,0.18,0.12,0,0.02,0.32
Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts,0.25,0.06,0,0,0.31
Supercross 2000,N64,1999,Racing,Electronic Arts,0.23,0.06,0,0,0.29
Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0,0,0.28
Superbike 2000,PS,1999,Racing,Electronic Arts,0.15,0.1,0,0.02,0.27
NHL Rock the Rink,PS,1999,Sports,Electronic Arts,0.14,0.1,0,0.02,0.26
Dune 2000,PS,1999,Strategy,Electronic Arts,0.14,0.09,0,0.02,0.25
Sports Car GT,PS,1999,Racing,Electronic Arts,0.12,0.08,0,0.01,0.22
WCW Backstage Assault,PS,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21
Dungeon Keeper 2,PC,1999,Action,Electronic Arts,0,0.05,0,0.01,0.06
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81
Dragon Warrior I&II,GB,1999,Role-Playing,Enix Corporation,0,0,0.77,0,0.77
World of Dragon Warrior - Torneko: The Last Hope,PS,1999,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65
Bust A Groove 2,PS,1999,Misc,Enix Corporation,0.04,0.03,0.18,0.02,0.26
Builder's Block,PS,1999,Strategy,EON Digital Entertainment,0.01,0,0,0,0.01
Croc 2,PS,1999,Platform,Fox Interactive,0.41,0.28,0,0.05,0.73
Die Hard Trilogy 2: Viva Las Vegas,PS,1999,Action,Fox Interactive,0.27,0.18,0,0.03,0.49
Armored Core: Master of Arena,PS,1999,Simulation,From Software,0.07,0.05,0.13,0.02,0.26
Tokyo Xtreme Racer,DC,1999,Racing,Genki,0,0,0.17,0,0.17
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31
Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,0.21,0.05,0,0,0.26
Rampage 2: Universal Tour,N64,1999,Action,GT Interactive,0.18,0.04,0,0,0.22
Frogger 2: Swampy's Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43
Monopoly,N64,1999,Misc,Hasbro Interactive,0.17,0.04,0,0,0.21
Breakout,PS,1999,Puzzle,Hasbro Interactive,0.06,0.04,0,0.01,0.11
Momotarou Dentetsu V,PS,1999,Misc,Hudson Entertainment,0,0,0.44,0.03,0.47
Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,0.05,0.01,0.11,0,0.17
Fire ProWrestling G,PS,1999,Fighting,Human Entertainment,0,0,0.18,0.01,0.19
Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999,Fighting,Human Entertainment,0,0,0.12,0.01,0.12
Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer,0,0,0.54,0,0.54
Fighter Destiny 2,N64,1999,Fighting,Imagineer,0.04,0.01,0,0,0.05
Rally Challenge 2000,N64,1999,Racing,Imagineer,0.03,0.01,0,0,0.04
Mission: Impossible,PS,1999,Action,Infogrames,0.29,0.2,0,0.03,0.52
Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,0.22,0.15,0,0.03,0.4
Gekido,PS,1999,Fighting,Infogrames,0.06,0.04,0,0.01,0.1
Expendable,PS,1999,Action,Infogrames,0.03,0.02,0,0,0.05
Test Drive Le Mans,PS,1999,Racing,Infogrames,0.03,0.02,0,0,0.05
Worms Armageddon,N64,1999,Strategy,Infogrames,0.03,0.01,0,0,0.04
Earthworm Jim 3D,N64,1999,Platform,Interplay,0.1,0.02,0,0,0.12
Interplay Sports Baseball 2000,PS,1999,Sports,Interplay,0.03,0.02,0,0,0.06
Renegade Racers,PS,1999,Racing,Interplay,0.01,0.01,0,0,0.03
Vanark,PS,1999,Shooter,Jaleco,0.01,0.01,0,0,0.01
K-1 Grand Prix,PS,1999,Fighting,Jaleco,0.01,0.01,0,0,0.01
Hamster Tarou,GB,1999,Simulation,Jorudan,0,0,0.3,0,0.3
RayCrisis: Series Termination,PS,1999,Shooter,JVC,0.01,0.01,0,0,0.02
Lunar 2: Eternal Blue Complete,PS,1999,Role-Playing,Kadokawa Shoten,0.19,0.13,0,0.02,0.35
Top Gear Rally 2,N64,1999,Racing,Kemco,0.09,0.02,0,0,0.11
Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco,0.06,0.01,0,0,0.07
Top Gear Hyper-Bike,N64,1999,Racing,Kemco,0.05,0.01,0,0,0.06
Charlie Blasts Territory,N64,1999,Action,Kemco,0.02,0.01,0,0,0.03
Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0,0.08,1.88
Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6
Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09,1.35
Championship Manager Season 01/02,PC,2001,Sports,Eidos Interactive,0,0.03,0,0.01,0.03
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,1.17,0,0.42,3.61
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
NBA Street,PS2,2001,Sports,Electronic Arts,2.19,0.22,0,0.38,2.79
Sky Gunner,PS2,2001,Action,Sony Computer Entertainment,0.04,0.03,0,0.01,0.07
Tsugunai: Atonement,PS2,2001,Role-Playing,Sony Computer Entertainment,0.02,0.01,0.02,0,0.06
Rez,PS2,2001,Shooter,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05
Rimo-Cocoron,PS2,2001,Action,Sony Computer Entertainment,0,0,0.05,0,0.05
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
Space Venus starring Morning Musume,PS2,2001,Misc,Sony Music Entertainment,0,0,0.14,0,0.14
Fire ProWrestling,GBA,2001,Fighting,Spike,0.09,0.03,0,0,0.13
Final Fantasy Chronicles,PS,2001,Role-Playing,Square,0.29,0.2,0,0.03,0.52
Final Fantasy II,WS,2001,Role-Playing,SquareSoft,0,0,0.25,0,0.25
American Bass Challenge,GBA,2001,Sports,Starfish,0.03,0.01,0,0,0.05
Cossacks: European Wars,PC,2001,Strategy,Strategy First,0,0.02,0,0,0.03
Chess,PS,2001,Strategy,Success,0.05,0.04,0,0.01,0.09
Hidden Invasion,PS2,2001,Shooter,Swing! Entertainment,0.04,0.03,0,0.01,0.08
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0,0,0.12
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.08,0.03,0,0,0.12
NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.08,0.03,0,0,0.11
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11
BMX XXX,XB,2002,Sports,Acclaim Entertainment,0.08,0.02,0,0,0.11
Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,0.05,0.02,0,0,0.07
BMX XXX,GC,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0,0.06
Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0,0,0.06
ZooCube,GBA,2002,Puzzle,Acclaim Entertainment,0.03,0.01,0,0,0.05
Punch King,GBA,2002,Fighting,Acclaim Entertainment,0.03,0.01,0,0,0.05
Dave Mirra Freestyle BMX 3,GBA,2002,Sports,Acclaim Entertainment,0.02,0.01,0,0,0.03
ZooCube,GC,2002,Puzzle,Acclaim Entertainment,0.02,0,0,0,0.02
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Cabela's Big Game Hunter,PS2,2002,Sports,Activision,0.7,0.54,0,0.18,1.42
Spider-Man: The Movie,XB,2002,Action,Activision,1.07,0.28,0,0.05,1.4
Spider-Man: The Movie,GBA,2002,Action,Activision,0.92,0.35,0.01,0.05,1.33
Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19
Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0,0.04,0.93
Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0,0.12,0.91
Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.45,0.12,0,0.02,0.58
Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.41,0.15,0,0.01,0.57
Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57
Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,0.34,0.18,0,0.02,0.55
Tony Hawk's Pro Skater 3,GBA,2002,Sports,Activision,0.37,0.14,0,0.01,0.52
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5
Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision,0.24,0.19,0,0.06,0.5
X-Men: Next Dimension,PS2,2002,Fighting,Activision,0.23,0.18,0,0.06,0.47
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,0.46
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46
Star Wars: Jedi Starfighter,XB,2002,Simulation,Activision,0.35,0.07,0,0.02,0.44
Minority Report: Everybody Runs,PS2,2002,Action,Activision,0.2,0.15,0,0.05,0.41
Star Wars: Clone Wars,GC,2002,Shooter,Activision,0.31,0.08,0,0.01,0.4
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,Activision,0.25,0.09,0,0.01,0.35
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision,0.16,0.13,0,0.04,0.33
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31
Street Hoops,XB,2002,Sports,Activision,0.21,0.06,0,0.01,0.28
Star Wars Jedi Knight II: Jedi Outcast,GC,2002,Shooter,Activision,0.18,0.05,0,0.01,0.23
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,0.11,0.08,0,0.03,0.22
Mat Hoffman's Pro BMX 2,XB,2002,Sports,Activision,0.15,0.04,0,0.01,0.2
Gungrave,PS2,2002,Shooter,Activision,0.09,0.07,0,0.02,0.19
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0,0,0.18
Lost Kingdoms,GC,2002,Role-Playing,Activision,0.1,0.02,0.04,0,0.17
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.11,0.04,0,0,0.16
Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13
Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.09,0.03,0,0,0.13
X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0,0,0.13
XXX,GBA,2002,Action,Activision,0.08,0.03,0,0,0.11
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0,0,0.11
Space Invaders,GBA,2002,Shooter,Activision,0.08,0.03,0,0,0.11
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,0.1
Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0,0,0.1
Minority Report: Everybody Runs,XB,2002,Action,Activision,0.07,0.02,0,0,0.1
Tony Hawk's Pro Skater 3,N64,2002,Sports,Activision,0.06,0.02,0,0,0.08
Kelly Slater's Pro Surfer,GC,2002,Sports,Activision,0.05,0.01,0,0,0.06
Wreckless: ThE YaKuza MisSiOns,GC,2002,Racing,Activision,0.04,0.01,0,0,0.06
Rally Fusion: Race of Champions,XB,2002,Racing,Activision,0.04,0.01,0,0,0.05
The Invincible Iron Man,GBA,2002,Action,Activision,0.03,0.01,0,0,0.04
Mat Hoffman's Pro BMX 2,GC,2002,Sports,Activision,0.03,0.01,0,0,0.04
Doom II: Hell on Earth,GBA,2002,Shooter,Activision,0.03,0.01,0,0,0.04
Minority Report: Everybody Runs,GBA,2002,Action,Activision,0.03,0.01,0,0,0.04
Cabela's Big Game Hunter,GBA,2002,Sports,Activision Value,0.07,0.02,0,0,0.09
Fisherman's Bass Club,PS2,2002,Sports,Agetec,0.53,0.41,0,0.14,1.08
Disaster Report,PS2,2002,Action,Agetec,0.03,0.02,0.15,0.01,0.21
Technic Beat,PS2,2002,Misc,Arika,0.01,0.01,0,0,0.02
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
Stuntman,PS2,2002,Racing,Atari,0.76,0.59,0,0.2,1.55
Super Monkey Ball 2,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52
Test Drive,PS2,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34
NFL 2K3,PS2,2002,Sports,Atari,1.06,0.08,0,0.18,1.32
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25
Unlimited Saga,PS2,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77
Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0,0.03,0.74
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0,0.01,0.72
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,0.55,0.14,0,0.02,0.71
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
Backyard Baseball,GBA,2002,Sports,Atari,0.31,0.11,0,0.01,0.43
Superman: Shadow of Apokolips,PS2,2002,Action,Atari,0.21,0.16,0,0.05,0.42
Test Drive,XB,2002,Racing,Atari,0.35,0.05,0,0.02,0.42
The Terminator: Dawn of Fate,PS2,2002,Action,Atari,0.2,0.16,0,0.05,0.41
Driver 2 Advance,GBA,2002,Action,Atari,0.25,0.09,0,0.01,0.34
Sega Smash Pack,GBA,2002,Misc,Atari,0.23,0.08,0,0.01,0.32
Godzilla: Domination!,GBA,2002,Fighting,Atari,0.2,0.07,0,0.01,0.28
Dungeons & Dragons: Eye of the Beholder,GBA,2002,Role-Playing,Atari,0.19,0.07,0,0,0.26
Nickelodeon Party Blast,GC,2002,Misc,Atari,0.19,0.05,0,0.01,0.25
Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,0.17,0.04,0,0.01,0.22
BeyBlade VForce: Super Tournament Battle,GC,2002,Action,Atari,0.16,0.04,0,0.01,0.21
Transworld Surf,PS2,2002,Sports,Atari,0.09,0.07,0,0.02,0.19
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0,0,0.18
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0,0.18
Taz Wanted,PS2,2002,Platform,Atari,0.08,0.06,0,0.02,0.16
The Terminator: Dawn of Fate,XB,2002,Action,Atari,0.11,0.03,0,0.01,0.15
Micro Machines,PS2,2002,Racing,Atari,0.07,0.05,0,0.02,0.14
Shining Soul,GBA,2002,Role-Playing,Atari,0.03,0.01,0.09,0,0.14
Superman: The Man of Steel,XB,2002,Action,Atari,0.1,0.03,0,0,0.13
SplashDown,XB,2002,Racing,Atari,0.09,0.02,0,0,0.11
Deus Ex: The Conspiracy,PS2,2002,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21
Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0,0.02,0.18
Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,0.07,0.05,0,0.02,0.14
E·O·E: Eve of Extinction,PS2,2002,Fighting,Eidos Interactive,0.04,0.03,0.02,0.01,0.1
Swingerz Golf,GC,2002,Sports,Eidos Interactive,0.06,0.02,0,0,0.08
